,gene_id,TCGA-OR-A5J1-01A-11R-A29S-07,TCGA-OR-A5J2-01A-11R-A29S-07,TCGA-OR-A5J3-01A-11R-A29S-07,TCGA-OR-A5J5-01A-11R-A29S-07,TCGA-OR-A5J6-01A-31R-A29S-07,TCGA-OR-A5J7-01A-11R-A29S-07,TCGA-OR-A5J8-01A-11R-A29S-07,TCGA-OR-A5J9-01A-11R-A29S-07,TCGA-OR-A5JA-01A-11R-A29S-07,TCGA-OR-A5JB-01A-11R-A29S-07,TCGA-OR-A5JC-01A-11R-A29S-07,TCGA-OR-A5JD-01A-11R-A29S-07,TCGA-OR-A5JE-01A-11R-A29S-07,TCGA-OR-A5JF-01A-11R-A29S-07,TCGA-OR-A5JG-01A-11R-A29S-07,TCGA-OR-A5JI-01A-11R-A29S-07,TCGA-OR-A5JJ-01A-11R-A29S-07,TCGA-OR-A5JK-01A-11R-A29S-07,TCGA-OR-A5JL-01A-11R-A29S-07,TCGA-OR-A5JM-01A-11R-A29S-07,TCGA-OR-A5JO-01A-11R-A29S-07,TCGA-OR-A5JP-01A-11R-A29S-07,TCGA-OR-A5JQ-01A-11R-A29S-07,TCGA-OR-A5JR-01A-11R-A29S-07,TCGA-OR-A5JS-01A-11R-A29S-07,TCGA-OR-A5JT-01A-11R-A29S-07,TCGA-OR-A5JV-01A-11R-A29S-07,TCGA-OR-A5JW-01A-11R-A29S-07,TCGA-OR-A5JX-01A-11R-A29S-07,TCGA-OR-A5JY-01A-31R-A29S-07,TCGA-OR-A5JZ-01A-11R-A29S-07,TCGA-OR-A5K0-01A-11R-A29S-07,TCGA-OR-A5K1-01A-11R-A29S-07,TCGA-OR-A5K2-01A-11R-A29S-07,TCGA-OR-A5K3-01A-11R-A29S-07,TCGA-OR-A5K4-01A-11R-A29S-07,TCGA-OR-A5K5-01A-11R-A29S-07,TCGA-OR-A5K6-01A-11R-A29S-07,TCGA-OR-A5K8-01A-11R-A29S-07,TCGA-OR-A5K9-01A-11R-A29S-07,TCGA-OR-A5KO-01A-11R-A29S-07,TCGA-OR-A5KT-01A-11R-A29S-07,TCGA-OR-A5KU-01A-11R-A29S-07,TCGA-OR-A5KV-01A-11R-A29S-07,TCGA-OR-A5KW-01A-11R-A29S-07,TCGA-OR-A5KX-01A-11R-A29S-07,TCGA-OR-A5KY-01A-11R-A29S-07,TCGA-OR-A5KZ-01A-11R-A29S-07,TCGA-OR-A5L3-01A-11R-A29S-07
287,ADAM33|80332,4.8031,5.6368,3.2766,78.3036,11.736,2.0056,947.323,1.3599,2.6427,0.8912,37.5318,1.2136,2.2624,13.901,2.1497,4.6253,17.4029,16.7811,3.7585,6.8966,4.3193,11.8577,6.3701,0.0,4.8095,0.4738,0.5192,1.3164,1.2972,0.0,2.0151,11.6279,1.6562,9.5012,0.0,0.0,2.2967,1.0096,7.2569,2.1988,7.4977,6.7437,8.9703,255.353,5.4003,3.3461,15.0526,78.1818,34.5982
288,ADAM3A|1587,0.0,0.0,0.0,0.0,0.0,0.0,0.8288,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,ADAM5P|255926,0.0,0.0,0.0,0.7746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,ADAM6|8755,26.1191,4855.75,218.368,13.0596,724.2,10.3209,13278.4,13.1164,43.3562,781.063,284.822,152.682,15.2432,1.9963,53.4569,2957.58,7190.84,14124.7,8947.56,26.3362,1561.67,76.289,6656.03,13.1784,158.746,49.7406,10.0208,8.0386,64.6862,30.6986,73.1553,5.9884,393.33,236.01,41.9793,10.3874,90.3445,235.214,270.29,1.8162,18.0975,7771.47,61.5735,38.4034,87.285,23.6568,252.737,142.249,37.1875
291,ADAM7|8756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,ADAM8|101,79.731,68.0445,115.538,381.875,76.0045,164.862,78.7402,67.3161,180.761,2099.59,152.672,66.1408,171.38,20.8514,43.5308,66.605,166.444,167.048,79.8685,143.965,200.309,53.1401,73.2557,37.5587,61.4132,30.321,51.4019,124.177,109.616,209.583,18.136,62.8964,21.5305,121.788,45.2781,25.2121,129.536,110.045,33.3817,259.015,96.0637,87.6686,87.4603,688.778,46.4426,284.417,92.5291,39.3939,33.4821
293,ADAM9|8754,542.267,1612.13,1101.47,431.449,2296.9,1594.46,2012.02,735.037,841.966,927.704,523.537,1353.16,1117.08,1055.31,1341.39,1803.89,542.169,971.014,845.666,4613.79,2770.31,3219.59,1533.99,2175.59,1352.57,2663.51,2680.17,1382.19,711.529,2143.75,2642.49,997.886,1528.67,855.107,767.141,1713.86,1293.98,910.651,621.19,4012.31,2435.33,2361.27,917.959,887.389,1920.35,1146.27,853.569,2029.09,191.964
294,ADAMDEC1|27299,0.9606,1.2079,10.0726,0.7746,0.5589,3.6101,135.101,0.68,8.4567,573.911,5.0891,0.0,17.5339,0.3861,5.3742,14.8011,2.6774,18.3066,13.1548,0.0,9.1786,5.7093,9.157,0.0,1.4798,1.4213,114.746,0.4388,0.0,16.5696,16.1209,0.5285,0.0,4.3187,1.2937,0.0,2.2967,2.0192,20.3193,1.3193,3.2802,194.605,0.7475,3.4709,4.3202,0.0,12.3962,6.0606,1.1161
295,ADAMTS10|81794,39.3852,144.142,179.529,1749.03,17.3246,19.655,133.444,55.7568,23.2558,15.5954,189.567,319.175,18.6652,13.901,16.6599,343.201,26.7738,63.3105,11.7454,170.69,550.174,62.8019,306.559,128.638,200.888,182.873,116.303,24.1334,284.741,12.0914,365.407,0.5285,178.041,143.382,14.2303,157.996,34.9104,178.193,23.2221,10.1143,268.51,202.312,8.9703,348.245,20.5211,419.694,67.7366,118.182,113.839
296,ADAMTS12|81792,77.3295,95.826,45.0304,27.1108,1.1177,362.615,549.938,1.3599,16.3848,0.0,17.1756,10.9223,16.9683,80.3166,10.7484,18.5014,9.3708,28.9855,53.5588,1.2931,17.2773,15.8103,43.396,4.6948,2.9597,23.2145,68.0166,21.0619,81.7253,26.8697,114.19,0.0,11.5934,0.8637,1.2937,2.8013,69.8209,2.0192,5.8055,7.0361,72.1649,20.2312,92.693,3.0852,16.2009,0.956,16.8235,134.546,63.6161
297,ADAMTS13|11093,248.799,51.1341,25.4777,164.988,45.2674,58.564,126.399,99.6142,167.019,32.5276,57.2519,254.854,114.819,58.3068,168.749,47.1785,482.374,51.106,15.5039,67.6724,107.983,70.7071,166.02,63.3803,145.024,72.4861,81.5161,36.8583,57.7266,66.7264,40.3023,181.29,24.8429,68.2358,81.5006,86.2813,198.438,117.617,33.3817,167.986,230.084,68.4008,91.9454,188.199,64.8036,177.82,78.3619,88.4848,119.42
298,ADAMTS14|140766,8.1652,16.5078,12.4426,44.9264,43.5908,32.0899,840.448,48.2772,54.9683,32.5276,7.6336,85.5583,33.371,12.3564,51.0547,141.536,147.256,16.7811,11.2755,65.0862,36.1743,24.1546,49.368,27.23,173.881,44.5339,76.8432,20.1843,1.9458,45.6785,165.239,22.7273,31.4677,2.5912,7.762,4.4821,99.6785,69.6618,14.5138,24.1865,12.6523,71.2909,59.8019,59.005,1.6201,401.052,21.2507,61.2121,25.6696
299,ADAMTS15|170689,0.0,2.8184,1.185,0.7746,5.0297,10.8303,179.03,1.6999,1.5856,5.347,0.6361,20.0243,0.0,1.9307,2.1497,12.951,1.3387,0.7628,3.2887,0.431,8.6386,3.0742,7.9626,20.1878,1.1099,6.1589,6.2305,0.0,0.0,4.4783,5.3736,0.0,33.952,0.0,2.5873,2.2411,3.2154,0.5048,0.0,1.759,0.0,0.0,1.495,3.8565,2.7001,0.956,3.5418,10.303,0.0
300,ADAMTS16|170690,0.0,0.8053,0.0,0.7746,1.6766,6.0168,90.7584,1.0199,3.6998,0.0,0.0,7.8883,0.0,0.3861,0.5374,215.541,0.8925,0.0,0.0,0.0,8.6386,9.2227,10.7495,13.1455,0.37,3.7901,1.5576,0.8776,0.0,3.5826,2.0151,1.5856,28.1553,0.0,0.0,3.3616,0.4593,0.0,0.0,0.0,1.8744,0.0,0.0,0.3857,0.0,0.0,0.0,1.8182,0.0
301,ADAMTS17|170691,3.3622,6.0395,79.3956,161.89,166.539,44.9258,9.5317,19.3789,461.945,3.1191,41.9847,38.835,0.5656,205.811,529.356,101.758,18.2954,16.7811,39.4644,9.0517,5.9391,38.2082,13.5364,25.3521,87.3104,23.6883,43.0945,246.599,21.4042,240.484,27.5399,36.9979,46.3735,3.455,24.5796,49.8639,4.1341,33.8213,153.846,34.3008,11.7151,1197.5,95.683,16.1975,79.3844,42.065,50.4704,6.6667,22.3214
302,ADAMTS18|170692,0.4803,12.4815,1.7775,6.1967,10.6183,0.0,0.8288,9.8594,1.0571,0.4456,3.1807,0.0,0.0,1.9307,0.5374,0.0,0.4462,9.1533,0.0,0.8621,22.6764,1.7567,5.5738,4.2254,0.7399,3.7901,3.6345,0.4388,1.2972,518.137,10.7473,38.055,4.9686,0.0,0.0,1.1205,0.0,0.5048,0.0,0.0,2.343,0.0,0.0,0.0,4.3202,7.6482,0.4427,1.2121,0.0
